"Category","Title","ImagePath"
"","Welcome New Agent","/welcome-new-agent.png"
"","Welcome to Stars","/welcome-to-stars.png"
"","Discord Audio","/Discord-Audio.png"
"","Discord Input","/Discord-Input.png"
"","Discord Output","/Discord-Output.png"
"","Discord Share #1","/Discord-Share-1.png"
"","Discord Share #2","/Discord-Share-2.png"
"","Discord Share #3","/Discord-Share-3.png"
"","Discord Instructions","/Discord-Instructions.png"
"","DTE Disposition","/DTE-Disposition.png"
"","Phonetics Table","/Phonetics.png"
"","DTE Disposition Box","/DTE-Disposition-Box.png"
"","Script Disposition","/script-disposition.png"
"","Click Transfer","/click-transfer.png"
"","Queue","/queue.png"
"","Transfer","/Transfer.png"
"","Station Settings","/station-settings.png"
"","Station Settings 2","/station-settings-2.png"
"Headset Connections","USB Connection","/usb.png"
"Headset Connections","3.5 mm connections","/3.5mm.png"
